,equipo,puntos,golesFavor,golesEnContra,partidos,ganados,empatados,perdidos,diferenciaGoles,ganadosLocal,ganadosVisitante,empatadosLocal,empatadosVisitante,perdidosLocal,perdidosVisitante,torneo
0,Boca Juniors,58,50,22,27,14,4,9,28,12,6,0,4,2,3,Liga Profesional Argentina 2018
1,Olimpo,15,16,50,27,9,6,12,-34,2,1,4,2,7,11,Liga Profesional Argentina 2018
2,Temperley,23,22,46,27,10,8,9,-24,2,3,4,4,8,6,Liga Profesional Argentina 2018
3,River Plate,45,39,26,27,9,6,12,13,7,6,4,2,2,6,Liga Profesional Argentina 2018
4,Tigre,24,26,33,27,8,12,7,-7,3,1,6,6,5,6,Liga Profesional Argentina 2018
5,Vélez Sarsfield,38,31,32,27,9,8,10,-1,5,5,4,4,4,5,Liga Profesional Argentina 2018
6,Argentinos Juniors,41,36,30,27,12,5,10,6,9,3,2,3,3,7,Liga Profesional Argentina 2018
7,Chacarita Juniors,18,23,40,27,10,6,11,-17,3,1,3,3,7,10,Liga Profesional Argentina 2018
8,Independiente,46,29,19,27,11,7,9,10,6,7,3,4,5,2,Liga Profesional Argentina 2018
9,CA Huracán,48,35,24,27,8,9,10,11,7,6,5,4,1,4,Liga Profesional Argentina 2018
10,San Lorenzo,50,31,20,27,10,8,9,11,8,6,4,4,2,3,Liga Profesional Argentina 2018
11,Racing Club,45,46,32,27,11,6,10,14,8,5,2,4,3,5,Liga Profesional Argentina 2018
12,Defensa y Justicia,44,41,34,27,10,5,12,7,7,6,4,1,3,6,Liga Profesional Argentina 2018
13,Gimnasia La Plata,27,28,43,27,11,6,10,-15,6,1,2,4,5,9,Liga Profesional Argentina 2018
14,Newell's Old Boys,30,23,28,27,10,6,11,-5,7,1,4,2,3,10,Liga Profesional Argentina 2018
15,Unión Santa Fe,43,33,23,27,7,10,10,10,7,4,6,4,0,6,Liga Profesional Argentina 2018
16,Talleres Córdoba,46,33,20,27,12,7,8,13,9,4,2,5,3,4,Liga Profesional Argentina 2018
17,Lanús,29,20,37,27,6,11,10,-17,3,3,7,4,3,7,Liga Profesional Argentina 2018
18,Atl.Tucumán,36,29,26,27,6,12,9,3,5,3,8,4,1,6,Liga Profesional Argentina 2018
19,Godoy Cruz,56,45,24,27,13,5,9,21,12,5,0,5,1,4,Liga Profesional Argentina 2018
20,San Martín San Juan,33,30,36,27,11,6,10,-6,6,3,3,3,5,7,Liga Profesional Argentina 2018
21,Patronato,33,26,32,27,9,9,9,-6,5,3,4,5,4,6,Liga Profesional Argentina 2018
22,Banfield,35,27,24,27,10,8,9,3,5,4,4,4,5,5,Liga Profesional Argentina 2018
23,Belgrano,40,29,28,27,6,10,11,1,5,5,7,3,1,6,Liga Profesional Argentina 2018
24,Colón,41,32,22,27,9,8,10,10,5,6,5,3,4,4,Liga Profesional Argentina 2018
25,Rosario Central,32,30,41,27,11,8,8,-11,6,2,2,6,5,6,Liga Profesional Argentina 2018
26,Estudiantes La Plata,36,25,26,27,13,6,8,-1,6,4,1,5,7,4,Liga Profesional Argentina 2018
27,Arsenal de Sarandí,17,19,36,27,8,8,11,-17,2,1,5,3,6,10,Liga Profesional Argentina 2018
